"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21198","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-06-29","passed","2026-06-29","","","",""
"","13952","상품 > 구매정보 탭 노출 확인","","2026-06-29","passed","2026-06-29","","","",""
"","14148","연락처 관리 확인","","2026-06-29","passed","2026-06-29","","","",""
"","7059","주문 내역 확인","","2026-06-29","passed","2026-06-29","","","",""
"","12051","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-06-29","passed","2026-06-29","","","",""
"","15639","기프티쇼 카테고리 및 필터 기능 확인","","2026-06-29","passed","2026-06-29","","","",""
"","15125","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-06-29","passed","2026-06-29","","","",""
"","20805","GNB 메뉴별 화면 확인","","2026-06-29","passed","2026-06-29","","","",""
"","13366","장바구니 확인","","2026-06-29","passed","2026-06-29","","","",""
"","13584","간편 로그인 연결 확인","","2026-06-29","passed","2026-06-29","","","",""
"","12145","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-06-29","passed","2026-06-29","","","",""
"","13431","이용권등록 확인","","2026-06-29","passed","2026-06-29","","","",""
"","20726","상품 > 장바구니 상품 추가 확인","","2026-06-29","passed","2026-06-29","","","",""
"","10664","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-06-29","passed","2026-06-29","","","",""
"","6038","문의 내역 확인","","2026-06-29","passed","2026-06-29","","","",""
"","41633","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-06-29","passed","2026-06-29","","","",""
"","16657","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-06-29","passed","2026-06-29","","","",""
"","6536","기프티쇼 선물함 확인","","2026-06-29","passed","2026-06-29","","","",""
"","93","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-06-29","passed","2026-06-29","","","",""
"","15673","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-06-29","passed","2026-06-29","","","",""
"","17856","상품 > 좋아요 추가 및 삭제 확인","","2026-06-29","passed","2026-06-29","","","",""
"","9615","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-06-29","passed","2026-06-29","","","",""
"","10256","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-06-29","passed","2026-06-29","","","",""
"","13107","1:1 문의하기 확인","","2026-06-29","passed","2026-06-29","","","",""
"","1917","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-06-29","passed","2026-06-29","","","",""
"","46507","일반 계정 로그인 확인","","2026-06-29","passed","2026-06-29","","","",""
"","6983","환불 계좌 관리 확인","","2026-06-29","passed","2026-06-29","","","",""
"","14224","상품 > 상세정보 탭 노출 확인","","2026-06-29","passed","2026-06-29","","","",""
"","37325","회원 정보 수정 확인","","2026-06-29","passed","2026-06-29","","","",""
