"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23323","ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","23432","ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12862","거래 증빙 서류 신청/조회 확인","","2026-07-01","passed","2026-07-01","","","",""
"","20286","GNB 메뉴별 화면 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12810","문의 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","16894","기프티쇼 > 상품 > 선물하기 주문서 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12957","자주하는 질문 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13528","혜택 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13515","좋아요 확인","","2026-07-01","passed","2026-07-01","","","",""
"","20295","기프티쇼 > 상품 > 좋아요 추가 및 삭제 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12890","알파포인트 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12842","주문 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13208","이용권등록 확인","","2026-07-01","passed","2026-07-01","","","",""
"","16416","기프티쇼 > 상품 > 구매정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","513","기프티쇼 > 상품 > 선물하기 > 결제 진행 및 상품 결제 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","16619","편성표 > 방송알림 신청 및 등록 완료 확인","","2026-07-01","passed","2026-07-01","","","",""
"","20841","독바 > ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12849","공지 사항 확인","","2026-07-01","passed","2026-07-01","","","",""
"","17613","기프티쇼 > 상품 > 나에게 보내기 주문서 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","18026","기프티쇼 검색 후 상품 상세 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13338","취소/교환/반품 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","21039","상품 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13940","상품 > 상품평 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","16599","기프티쇼 > 상품 > 상세정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","41578","임의 상품 상세 > 구매하기 > 일반 계정 로그인 확인","","2026-07-01","passed","2026-07-01","","","",""
"","25342","ON AIR > 바로구매 > 장바구니 상품 추가 확인","","2026-07-01","passed","2026-07-01","","","",""
"","46421","일반 계정 로그인 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13278","연락처 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12949","배송지 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","6027","방송 알림 설정 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13449","상품평 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13899","상품 > 상세정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13339","기프티쇼 선물함 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13059","환불 계좌 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","21887","기프티쇼 GNB 메뉴별 화면 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","19473","상품 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","21610","기프티쇼 카테고리 및 필터 기능 확인","","2026-07-01","passed","2026-07-01","","","",""
"","18621","카테고리 정상 노출 및 필터 기능 확인","","2026-07-01","passed","2026-07-01","","","",""
"","19440","독바 > ON AIR > 바로구매 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13942","상품 > 상품문의 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12083","ON AIR > 현재 방송 중인 상품 정보 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12886","잔액형 상품권 내역 확인","","2026-07-01","passed","2026-07-01","","","",""
"","182","기프티쇼 > 상품 > 선물하기 > 받는 사람 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13231","ON AIR > VOD 영상 재생 확인","","2026-07-01","passed","2026-07-01","","","",""
"","17711","상품 > 좋아요 추가 및 삭제 확인","","2026-07-01","passed","2026-07-01","","","",""
"","12916","1:1 문의하기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13706","장바구니 확인","","2026-07-01","passed","2026-07-01","","","",""
"","15563","검색 후 상품 상세 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13025","간편 로그인 연결 확인","","2026-07-01","passed","2026-07-01","","","",""
"","18481","독바 > ON AIR > 바로구매 > 구매하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","73700","회원 정보 수정 확인","","2026-07-01","failed","2026-07-01","","","",""
"","1814","기프티쇼 > 상품 > 선물하기 > 기프티쇼 대표 번호로 보내기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13213","선물 메시지 관리 확인","","2026-07-01","passed","2026-07-01","","","",""
"","98","기프티쇼 > 상품 > 선물하기 > 내 번호로 보내기 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13917","상품 > 구매정보 탭 노출 확인","","2026-07-01","passed","2026-07-01","","","",""
"","19358","상품 > 선물하기 주문서 페이지 이동 확인","","2026-07-01","passed","2026-07-01","","","",""
"","13501","최근 본 상품 확인","","2026-07-01","passed","2026-07-01","","","",""
